T/K,lnhc,IL,Normalized SMILES,RANDOM,hc
355.15,6.202535517,108,CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO,9213,493.9999999
360.15,6.208590026,108,CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO,9214,497
365.15,6.214608098,108,CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO,9215,499.9999998
370.15,6.222576268,108,CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO,9216,504
375.15,6.228511004,108,CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO,9217,507.0000002
256.91,6.186208624,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9218,486
260,6.18929029,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9219,487.4999998
263,6.19215797,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9220,488.9000002
270,6.199088287,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9221,492.3000001
271.44,6.200509174,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9222,493
280,6.208590026,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9223,497
290,6.218400897,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9224,501.9000002
298.15,6.225943608,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9225,505.7
300,6.227721738,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9226,506.6000002
310,6.237152063,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9227,511.4000001
320,6.246494287,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9228,516.1999999
330,6.255750042,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9229,521.0000001
340,6.264730708,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9230,525.7000001
350,6.273819958,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9231,530.5
360,6.282827337,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9232,535.2999998
370,6.291754308,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9233,540.1000002
278.15,6.188264123,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9234,487
283.15,6.194405391,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9235,489.9999999
293.15,6.206575927,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9236,496.0000001
298.15,6.212606096,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9237,499.0000001
303.15,6.21860012,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9238,502.0000002
313.15,6.230481448,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9239,508.0000002
323.15,6.242223265,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9240,513.9999998
333.15,6.253828812,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9241,520.0000002
343.15,6.267200549,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9242,527.0000002
353.15,6.280395839,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9243,534
363.15,6.293419279,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9244,541.0000001
373.15,6.306275287,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9245,548
383.15,6.318968114,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9246,555.0000001
393.15,6.33150185,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9247,562.0000001
403.15,6.343880434,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9248,568.9999999
413.15,6.357842267,5,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,9249,577.0000003
