Normalized SMILES,logEC50,RANDOM,IL
C(C(F)(F)[P-](C(F)(F)C(F)(F)F)(F)(F)(F)C(F)(C(F)(F)F)F)(F)(F)F.[N+]1(CCCC1)(C)CCOC(=O)C,2.91,3,3
FC(C(F)(F)F)(F)[P-](C(F)(C(F)(F)F)F)(F)(F)(F)C(C(F)(F)F)(F)F.O=C(OCC[N+]1(CCCC1)C)C,2.91,3,3
C1CC[N+](C)(CCOC(=O)C)C1.[P-](F)(C(F)(C(F)(F)F)F)(F)(C(F)(F)C(F)(F)F)(F)C(C(F)(F)F)(F)F,2.91,3,3
C1CCC[N+]1(C)CCOC(C)=O.F[P-](C(F)(F)C(F)(F)F)(C(F)(C(F)(F)F)F)(F)(F)C(F)(C(F)(F)F)F,2.91,3,3
CC(=O)[O-].CCn1cc[n+](C)c1,4.227654641000001,4,4
C(=O)(C)[O-].C[n+]1ccn(c1)CC,4.227654641000001,4,4
CC([O-])=O.n1(cc[n+](c1)C)CC,4.227654641000001,4,4
CC(=O)[O-].[n+]1(C)cn(CC)cc1,4.227654641000001,4,4
[O-]C(C)=O.[n+]1(C)ccn(CC)c1,4.227654641000001,4,4
C([O-])(C)=O.C(n1cc[n+](c1)C)C,4.227654641000001,4,4
[O-]C(=O)C.c1n(CC)cc[n+]1C,4.227654641000001,4,4
O=C([O-])C.[n+]1(ccn(CC)c1)C,4.227654641000001,4,4
C(=O)(C)[O-].C(n1c[n+](cc1)C)C,4.227654641000001,4,4
C(=O)([O-])C.c1n(CC)cc[n+]1C,4.227654641000001,4,4
CC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.1,5,5
C(C)([O-])=O.C1OCC[N+](Cc2ccccc2)(C)C1,4.1,5,5
C1OCC[N+](C)(C1)Cc1ccccc1.[O-]C(C)=O,4.1,5,5
C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])C,4.1,5,5
CC([O-])=O.c1cc(C[N+]2(C)CCOCC2)ccc1,4.1,5,5
CC(=O)[O-].O1CC[N+](C)(CC1)Cc1ccccc1,4.1,5,5
O=C([O-])C.c1(C[N+]2(CCOCC2)C)ccccc1,4.1,5,5
CC([O-])=O.c1ccc(C[N+]2(CCOCC2)C)cc1,4.1,5,5
C(c1ccccc1)[N+]1(CCOCC1)C.CC([O-])=O,4.1,5,5
[O-]C(=O)C.c1c(C[N+]2(CCOCC2)C)cccc1,4.1,5,5
CC(=O)[O-].C[NH+](C)CCO,3.39,6,6
C[NH+](CCO)C.[O-]C(C)=O,3.39,6,6
C(O)C[NH+](C)C.[O-]C(=O)C,3.39,6,6
C(O)C[NH+](C)C.C([O-])(C)=O,3.39,6,6
C([NH+](C)C)CO.CC(=O)[O-],3.39,6,6
O=C(C)[O-].OCC[NH+](C)C,3.39,6,6
C(C)(=O)[O-].C[NH+](C)CCO,3.39,6,6
C(O)C[NH+](C)C.[O-]C(C)=O,3.39,6,6
C(CO)[NH+](C)C.O=C(C)[O-],3.39,6,6
CC(=O)[O-].C[NH+](CCO)C,3.39,6,6
CC(=O)[O-].OCC[NH2+]CCO,4.032215703,7,7
C([NH2+]CCO)CO.CC([O-])=O,4.032215703,7,7
C(C[NH2+]CCO)O.CC([O-])=O,4.032215703,7,7
OCC[NH2+]CCO.[O-]C(C)=O,4.032215703,7,7
O=C(C)[O-].OCC[NH2+]CCO,4.032215703,7,7
