,Normalized SMILES,T/K,P,Mole,Index,P/bar,ln(x_CO2)
6891,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.15,1730,0.2778,15,17.3,0.2778
6892,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1550,0.2778,15,15.5,0.2778
6893,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,1290,0.2778,15,12.9,0.2778
6894,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.15,1060,0.2778,15,10.6,0.2778
6895,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.3,1496,0.2775,18,14.96,0.2775
6896,CC(=O)[O-].CC[n+]1ccn(C)c1,358.2,795,0.277,10,7.95,0.277
6897,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,333.41,3550,0.277,66,35.5,0.277
6898,CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,1411.8,0.277,211,14.118,0.277
6899,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,298.05,2000.2,0.277,9,20.002,0.277
6900,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,298.1,2000.2,0.277,9,20.002,0.277
6901,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,298.05,2000.2,0.277,9,20.002,0.277
6902,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,298.1,2000.2,0.277,9,20.002,0.277
6903,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1500,0.277,18,15,0.277
6904,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1500,0.277,18,15,0.277
6905,CCCC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,333.3,1712,0.277,123,17.12,0.277
6906,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,333.41,3550,0.277,66,35.5,0.277
6907,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.25,1693,0.2765,13,16.93,0.2765
6908,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1200.1,0.276,14,12.001,0.276
6909,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,353.15,5956,0.276,22,59.56,0.276
6910,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,356.02,6019.5,0.276,22,60.195,0.276
6911,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1900.8,0.276,31,19.008,0.276
6912,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1000,0.276,78,10,0.276
6913,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,324,1196,0.276,86,11.96,0.276
6914,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1200,0.276,2,12,0.276
6915,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1200,0.276,2,12,0.276
6916,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1500,0.276,13,15,0.276
6917,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.17,1100,0.276,13,11,0.276
6918,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1500,0.276,13,15,0.276
6919,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1000,0.276,45,10,0.276
6920,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],313.15,2906,0.276,73,29.06,0.276
6921,CC(C)C[P+](C)(CC(C)C)CC(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1199.8,0.276,195,11.998,0.276
6922,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1900.8,0.276,31,19.008,0.276
