Td/K,IL,Normalized SMILES
338,23,O=[N+]([O-])[C-](C#N)N=O.c1c[n+](cn1CCCC)C
338,23,C[n+]1ccn(c1)CCCC.[O-][N+]([C-](C#N)N=O)=O
338,23,C(CCn1cc[n+](C)c1)C.[N+](=O)([C-](N=O)C#N)[O-]
338,23,N#C[C-]([N+](=O)[O-])N=O.c1c[n+](cn1CCCC)C
338,23,O=[N+]([O-])[C-](N=O)C#N.n1(cc[n+](C)c1)CCCC
338,23,[O-][N+](=O)[C-](N=O)C#N.n1(cc[n+](c1)C)CCCC
338,23,[N+]([O-])(=O)[C-](N=O)C#N.n1(c[n+](cc1)C)CCCC
338,23,[C-](N=O)(C#N)[N+](=O)[O-].c1n(c[n+](C)c1)CCCC
338,23,O=N[C-](C#N)[N+]([O-])=O.n1(cc[n+](c1)C)CCCC
613,24,C[N+]1(Cc2cccc([N+](=O)[O-])c2)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
613,24,C(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F.c1c([N+]([O-])=O)cccc1C[N+]1(C)CCCC1
613,24,C[N+]1(CCCC1)Cc1cc(ccc1)[N+](=O)[O-].[N-](S(=O)(=O)C(F)(F)F)S(=O)(C(F)(F)F)=O
613,24,C[N+]1(CCCC1)Cc1cc([N+]([O-])=O)ccc1.[N-](S(C(F)(F)F)(=O)=O)S(=O)(=O)C(F)(F)F
613,24,C1CC[N+](Cc2cccc([N+](=O)[O-])c2)(C1)C.O=S(C(F)(F)F)(=O)[N-]S(C(F)(F)F)(=O)=O
613,24,C(F)(F)(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)F.c1ccc(C[N+]2(CCCC2)C)cc1[N+]([O-])=O
613,24,O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F.O=[N+]([O-])c1cc(ccc1)C[N+]1(C)CCCC1
613,24,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[O-][N+](c1cccc(C[N+]2(CCCC2)C)c1)=O
613,24,S(=O)(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[O-][N+](c1cc(C[N+]2(CCCC2)C)ccc1)=O
613,24,O=S(C(F)(F)F)(=O)[N-]S(=O)(C(F)(F)F)=O.c1c(cc(C[N+]2(C)CCCC2)cc1)[N+]([O-])=O
343,25,C[N+](C)(C)C.N#C[C-](N=O)[N+](=O)[O-]
343,25,C[N+](C)(C)C.[N+](=O)([C-](N=O)C#N)[O-]
343,25,C(#N)[C-](N=O)[N+](=O)[O-].C[N+](C)(C)C
343,25,C[N+](C)(C)C.N([C-]([N+](=O)[O-])C#N)=O
343,25,C[N+](C)(C)C.[N+]([C-](N=O)C#N)([O-])=O
343,25,C[N+](C)(C)C.O=[N+]([O-])[C-](C#N)N=O
343,25,C[N+](C)(C)C.O=N[C-](C#N)[N+](=O)[O-]
343,25,C([C-]([N+](=O)[O-])N=O)#N.C[N+](C)(C)C
343,25,[N+](=O)([C-](N=O)C#N)[O-].[N+](C)(C)(C)C
343,25,C[N+](C)(C)C.[N+]([C-](N=O)C#N)([O-])=O
350,26,CC(O)C(=O)[O-].COC(=O)C(C)[NH3+]
350,26,CC([NH3+])C(=O)OC.[O-]C(=O)C(C)O
350,26,C(=O)([O-])C(C)O.CC(C(=O)OC)[NH3+]
350,26,C(C([O-])=O)(O)C.C(OC)(=O)C([NH3+])C
350,26,O=C(OC)C(C)[NH3+].[O-]C(C(C)O)=O
350,26,OC(C(=O)[O-])C.[NH3+]C(C)C(=O)OC
350,26,O=C(OC)C([NH3+])C.OC(C)C([O-])=O
350,26,C(O)(C)C([O-])=O.CC(C(=O)OC)[NH3+]
350,26,C(C(O)C)(=O)[O-].[NH3+]C(C)C(OC)=O
350,26,CC(C(OC)=O)[NH3+].O=C(C(C)O)[O-]
613,27,Cc1ccccc1C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
613,27,C[N+]1(CCCC1)Cc1c(cccc1)C.S(C(F)(F)F)(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
613,27,FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.c1cc(c(cc1)C)C[N+]1(CCCC1)C
613,27,C(c1ccccc1C)[N+]1(CCCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
613,27,C(F)(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.c1(C[N+]2(CCCC2)C)ccccc1C
613,27,C[N+]1(CCCC1)Cc1c(C)cccc1.FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F
613,27,C1CC[N+](Cc2c(C)cccc2)(C1)C.FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F
613,27,Cc1ccccc1C[N+]1(C)CCCC1.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O
613,27,FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.c1cc(c(cc1)C)C[N+]1(CCCC1)C
613,27,C1CCC[N+]1(Cc1ccccc1C)C.O=S([N-]S(=O)(=O)C(F)(F)F)(=O)C(F)(F)F
355,28,CC(O)C(=O)[O-].CCOC(=O)C(C)[NH3+]
355,28,C([NH3+])(C)C(=O)OCC.[O-]C(C(O)C)=O
355,28,C(C(C)O)([O-])=O.CCOC(=O)C(C)[NH3+]
355,28,C(C([NH3+])C)(=O)OCC.C(O)(C)C(=O)[O-]
355,28,C([NH3+])(C)C(OCC)=O.[O-]C(=O)C(O)C
355,28,C(=O)([O-])C(C)O.O(C(=O)C(C)[NH3+])CC
355,28,O(CC)C(C([NH3+])C)=O.[O-]C(C(O)C)=O
355,28,CC(O)C([O-])=O.CC([NH3+])C(=O)OCC
355,28,C(C([O-])=O)(C)O.C(OC(C([NH3+])C)=O)C
355,28,C(=O)(OCC)C(C)[NH3+].O=C([O-])C(C)O
358,29,CC[NH+](CC)CC.N#Cc1nnn[n-]1
358,29,C(c1[n-]nnn1)#N.CC[NH+](CC)CC
358,29,CC[NH+](CC)CC.[n-]1nnnc1C#N
358,29,C([NH+](CC)CC)C.C(c1[n-]nnn1)#N
358,29,CC[NH+](CC)CC.n1nnc([n-]1)C#N
358,29,C([NH+](CC)CC)C.N#Cc1nnn[n-]1
358,29,[NH+](CC)(CC)CC.[n-]1nnnc1C#N
358,29,[NH+](CC)(CC)CC.n1[n-]c(C#N)nn1
358,29,C(#N)c1[n-]nnn1.C(C)[NH+](CC)CC
358,29,CC[NH+](CC)CC.n1n[n-]c(n1)C#N
593,30,C[N+]1(Cc2cccc(F)c2)CCCC1.F[P-](F)(F)(F)(F)F
593,30,[P-](F)(F)(F)(F)(F)F.c1cc(cc(C[N+]2(C)CCCC2)c1)F
593,30,C1CC[N+](C)(Cc2cccc(F)c2)C1.F[P-](F)(F)(F)(F)F
593,30,F[P-](F)(F)(F)(F)F.c1c(cccc1F)C[N+]1(CCCC1)C
593,30,F[P-](F)(F)(F)(F)F.c1(C[N+]2(CCCC2)C)cc(ccc1)F
