Tg/K,IL,Normalized SMILES
223,8,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.n1n(ccc1)Cn1c([n+](cc1)CCCCCC)C
223,8,FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F.n1cccn1Cn1cc[n+](CCCCCC)c1C
223,8,S([N-]S(C(F)(F)F)(=O)=O)(=O)(C(F)(F)F)=O.n1n(Cn2c([n+](CCCCCC)cc2)C)ccc1
245,9,F[P-](F)(F)(F)(F)F.c1ccnn1Cn1cc[n+](CCCC)c1C
245,9,Cc1[n+](ccn1Cn1nccc1)CCCC.F[P-](F)(F)(F)(F)F
245,9,Cc1n(Cn2cccn2)cc[n+]1CCCC.F[P-](F)(F)(F)(F)F
245,9,F[P-](F)(F)(F)(F)F.c1cn(nc1)Cn1cc[n+](c1C)CCCC
245,9,F[P-](F)(F)(F)(F)F.c1c[n+](c(n1Cn1cccn1)C)CCCC
245,9,C(CC[n+]1ccn(Cn2cccn2)c1C)C.F[P-](F)(F)(F)(F)F
245,9,F[P-](F)(F)(F)(F)F.c1([n+](ccn1Cn1cccn1)CCCC)C
245,9,F[P-](F)(F)(F)(F)F.c1(C)[n+](CCCC)ccn1Cn1nccc1
245,9,C(n1cc[n+](c1C)CCCC)n1nccc1.F[P-](F)(F)(F)(F)F
245,9,C(n1c(C)[n+](cc1)CCCC)n1cccn1.F[P-](F)(F)(F)(F)F
241,10,C(CCCC)C[n+]1c(C)n(Cn2nccc2)cc1.[P-](F)(F)(F)(F)(F)F
241,10,F[P-](F)(F)(F)(F)F.c1n(Cn2cccn2)c([n+](c1)CCCCCC)C
241,10,C(n1cccn1)n1c([n+](cc1)CCCCCC)C.F[P-](F)(F)(F)(F)F
241,10,F[P-](F)(F)(F)(F)F.c1c[n+](c(n1Cn1cccn1)C)CCCCCC
241,10,F[P-](F)(F)(F)(F)F.n1(Cn2cc[n+](CCCCCC)c2C)cccn1
241,10,F[P-](F)(F)(F)(F)F.c1cn(Cn2c(C)[n+](CCCCCC)cc2)nc1
241,10,F[P-](F)(F)(F)(F)F.n1(Cn2nccc2)c(C)[n+](cc1)CCCCCC
241,10,C([n+]1c(C)n(cc1)Cn1cccn1)CCCCC.F[P-](F)(F)(F)(F)F
241,10,F[P-](F)(F)(F)(F)F.n1n(ccc1)Cn1cc[n+](CCCCCC)c1C
241,10,F[P-](F)(F)(F)(F)F.c1(n(Cn2cccn2)cc[n+]1CCCCCC)C
239,11,O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O.n1(nc(cc1C)C)Cn1cc[n+](CCCC)c1C
239,11,CCCC[n+]1ccn(Cn2c(cc(C)n2)C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
239,11,C(F)(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F.CCCC[n+]1ccn(Cn2nc(C)cc2C)c1C
