MP_K,Normalized SMILES,RANDOM,IL,Normalized SMILES1
478.0,CC1CCC(C(C)C)C(OC[N+](C)(C)C(C)C)C1.F[B-](F)(F)F,549,549,CC1CCC(C(C)C)C(OC[N+](C)(C)C(C)C)C1.F[B-](F)(F)F
314.0,CC1CCC(C(C)C)C(OC[N+](C)(C)C(C)C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,550,550,CC1CCC(C(C)C)C(OC[N+](C)(C)C(C)C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
355.0,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.[I-],551,551,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.[I-]
351.0,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.[O-][Cl+3]([O-])([O-])[O-],552,552,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.[O-][Cl+3]([O-])([O-])[O-]
343.0,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,553,553,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
377.0,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[P-](F)(F)(F)(F)F,554,554,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[P-](F)(F)(F)(F)F
346.0,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.O=C([O-])C(F)(F)F,555,555,CCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.O=C([O-])C(F)(F)F
316.0,CCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,556,556,CCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
344.0,CCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,557,557,CCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
361.0,CCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,558,558,CCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
344.0,CCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,559,559,CCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
330.0,CCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,560,560,CCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
319.0,CCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,561,561,CCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
316.0,CCCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,562,562,CCCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
372.0,CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1.F[B-](F)(F)F,563,563,CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1.F[B-](F)(F)F
320.0,CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,564,564,CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
424.0,CC[N+](C)(CC)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,565,565,CC[N+](C)(CC)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
399.0,CC[N+](CC)(CC)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,566,566,CC[N+](CC)(CC)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F
459.0,CCC[N+](C)(CC)CC.F[B-](F)(F)F,567,567,CCC[N+](C)(CC)CC.F[B-](F)(F)F
287.0,CCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,568,568,CCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
368.0,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,569,569,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F
327.0,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F,570,570,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F
330.0,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,571,571,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
327.0,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,572,572,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
438.0,CCCC[N+](C)(CC)CC.F[B-](F)(F)F,573,573,CCCC[N+](C)(CC)CC.F[B-](F)(F)F
282.0,CCCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,574,574,CCCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
270.0,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,575,575,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F
288.0,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F,576,576,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F
323.0,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,577,577,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
333.0,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,578,578,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
327.0,COCC[N+](C)(C)C.F[B-](F)(F)F,579,579,COCC[N+](C)(C)C.F[B-](F)(F)F
310.0,COCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,580,580,COCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
350.0,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)F,581,581,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)F
303.0,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)F,582,582,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)F
296.0,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,583,583,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
323.0,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,584,584,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
277.0,CC[N+](C)(C)CCOC.F[B-](F)(F)F,585,585,CC[N+](C)(C)CCOC.F[B-](F)(F)F
281.0,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)F,586,586,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)F
240.0,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F,587,587,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F
245.0,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,588,588,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
251.0,CC[N+](C)(CC)CCOC.F[B-](F)(F)C(F)(F)F,589,589,CC[N+](C)(CC)CCOC.F[B-](F)(F)C(F)(F)F
329.0,CC[N+](CC)(CC)CCOC.F[B-](F)(F)F,590,590,CC[N+](CC)(CC)CCOC.F[B-](F)(F)F
283.0,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)F,591,591,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)F
276.0,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F,592,592,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F
279.0,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,593,593,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
284.0,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,594,594,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
333.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.F[B-](F)(F)F,595,595,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.F[B-](F)(F)F
309.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,596,596,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
265.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[BH4-],597,597,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[BH4-]
234.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,598,598,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
286.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=[N+]([O-])[O-],599,599,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=[N+]([O-])[O-]
351.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.Cc1ccc(S(=O)(=O)[O-])cc1,600,600,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.Cc1ccc(S(=O)(=O)[O-])cc1
277.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)F,601,601,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)F
268.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)C(F)F,602,602,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)C(F)F
271.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,603,603,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F
251.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])O,604,604,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])O
332.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.F[P-](F)(F)(F)(F)F,605,605,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.F[P-](F)(F)(F)(F)F
250.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=P([O-])(O)O,606,606,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=P([O-])(O)O
250.0,CC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,607,607,CC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
277.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C[O-],608,608,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C[O-]
266.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])O,609,609,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])O
291.0,CC=CC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,610,610,CC=CC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
299.0,CCCCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,611,611,CCCCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
263.0,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,612,612,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F
190.0,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CCC[NH+](CCC)CCC,613,613,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CCC[NH+](CCC)CCC
191.0,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,614,614,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)c1ccco1
208.0,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,615,615,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
295.0,CCCC[NH+](CCCC)CCCC.O=[N+]([O-])[O-],616,616,CCCC[NH+](CCCC)CCCC.O=[N+]([O-])[O-]
180.0,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,617,617,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F
208.0,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CCCC[NH+](CCCC)CCCC,618,618,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CCCC[NH+](CCCC)CCCC
208.0,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,619,619,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)c1ccco1
325.0,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,620,620,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
262.0,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,621,621,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F
177.0,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,622,622,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C
181.0,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,623,623,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1ccco1
187.0,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,624,624,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
370.0,CCC[NH2+]CCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,625,625,CCC[NH2+]CCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F
376.0,CCC[NH2+]CCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,626,626,CCC[NH2+]CCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
279.0,CCC[NH2+]CCC.N#C[S-],627,627,CCC[NH2+]CCC.N#C[S-]
364.0,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)[NH2+]C(C)C,628,628,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)[NH2+]C(C)C
397.0,CC(C)[NH2+]C(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,629,629,CC(C)[NH2+]C(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
357.0,CCCC[NH2+]CCCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,630,630,CCCC[NH2+]CCCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F
344.0,CCCC[NH2+]CCCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,631,631,CCCC[NH2+]CCCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
336.0,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)C[NH2+]CC(C)C,632,632,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)C[NH2+]CC(C)C
413.0,CC(C)C[NH2+]CC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,633,633,CC(C)C[NH2+]CC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1
349.0,CC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,634,634,CC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
276.0,CC[NH+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,635,635,CC[NH+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
321.0,CC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,636,636,CC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
282.0,CC[NH3+].O=[N+]([O-])[O-],637,637,CC[NH3+].O=[N+]([O-])[O-]
313.0,CC[NH3+].O=S(=O)([O-])O,638,638,CC[NH3+].O=S(=O)([O-])O
360.0,CC(=O)[O-].CC[NH3+],639,639,CC(=O)[O-].CC[NH3+]
258.0,CC[NH3+].O=C[O-],640,640,CC[NH3+].O=C[O-]
308.0,C[N+](C)(C)CC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,641,641,C[N+](C)(C)CC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
324.0,O=[N+]([O-])[O-].[NH3+]CCO,642,642,O=[N+]([O-])[O-].[NH3+]CCO
191.0,O=C[O-].[NH3+]CCO,643,643,O=C[O-].[NH3+]CCO
372.0,COS(=O)(=O)[O-].[NH3+]CCO,644,644,COS(=O)(=O)[O-].[NH3+]CCO
349.0,CCCCC[N+](C)(C)CCCCC.[Br-],645,645,CCCCC[N+](C)(C)CCCCC.[Br-]
359.0,CCCCC[N+](C)(C)CCCCC.[I-],646,646,CCCCC[N+](C)(C)CCCCC.[I-]
327.0,CCCCCC[N+](C)(C)CCCCCC.[Br-],647,647,CCCCCC[N+](C)(C)CCCCCC.[Br-]
318.0,CCCCCC[N+](C)(C)CCCCCC.[I-],648,648,CCCCCC[N+](C)(C)CCCCCC.[I-]
331.0,CCCCC[N+](CC)(CC)CCCCC.[Br-],649,649,CCCCC[N+](CC)(CC)CCCCC.[Br-]
368.0,CCCCC[N+](CC)(CC)CCCCC.[I-],650,650,CCCCC[N+](CC)(CC)CCCCC.[I-]
348.0,CCCCCC[N+](CC)(CC)CCCCCC.[Br-],651,651,CCCCCC[N+](CC)(CC)CCCCCC.[Br-]
346.0,CCCCCC[N+](CC)(CC)CCCCCC.[I-],652,652,CCCCCC[N+](CC)(CC)CCCCCC.[I-]
318.0,O=C1CCCCC[NH2+]1.O=[N+]([O-])[O-],653,653,O=C1CCCCC[NH2+]1.O=[N+]([O-])[O-]
304.0,O=C([O-])c1ccccc1.O=C1CCCCC[NH2+]1,654,654,O=C([O-])c1ccccc1.O=C1CCCCC[NH2+]1
302.0,O=C([O-])CCl.O=C1CCCCC[NH2+]1,655,655,O=C([O-])CCl.O=C1CCCCC[NH2+]1
362.0,CCCC(=O)OCC[N+](C)(C)C.O=C1[N-]S(=O)(=O)c2ccccc21,656,656,CCCC(=O)OCC[N+](C)(C)C.O=C1[N-]S(=O)(=O)c2ccccc21
322.0,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCC(=O)OCC[N+](C)(C)C,657,657,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCC(=O)OCC[N+](C)(C)C
392.0,C[N+](C)(C)CCO.O=P([O-])(O)O,658,658,C[N+](C)(C)CCO.O=P([O-])(O)O
281.0,O=C1CCC[NH2+]1.O=[N+]([O-])[O-],659,659,O=C1CCC[NH2+]1.O=[N+]([O-])[O-]
280.0,O=C([O-])c1ccccc1.O=C1CCC[NH2+]1,660,660,O=C([O-])c1ccccc1.O=C1CCC[NH2+]1
305.0,O=C([O-])CCl.O=C1CCC[NH2+]1,661,661,O=C([O-])CCl.O=C1CCC[NH2+]1
301.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.F[B-](F)(F)F,662,662,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.F[B-](F)(F)F
271.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=N[O-],663,663,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=N[O-]
329.0,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.F[B-](F)(F)F,664,664,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.F[B-](F)(F)F
309.0,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=[N+]([O-])[O-],665,665,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=[N+]([O-])[O-]
358.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.O=[N+]([O-])[O-],666,666,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.O=[N+]([O-])[O-]
262.0,C[N+](C)(C)CCCCS(=O)(=O)O.O=S(=O)([O-])O,667,667,C[N+](C)(C)CCCCS(=O)(=O)O.O=S(=O)([O-])O
286.0,C[NH3+].O=C[O-],668,668,C[NH3+].O=C[O-]
277.0,CCC[NH3+].O=[N+]([O-])[O-],669,669,CCC[NH3+].O=[N+]([O-])[O-]
340.0,CCC[NH3+].O=C([O-])C(F)(F)F,670,670,CCC[NH3+].O=C([O-])C(F)(F)F
323.0,CCC[NH3+].O=C[O-],671,671,CCC[NH3+].O=C[O-]
275.0,CCCC[NH3+].O=C[O-],672,672,CCCC[NH3+].O=C[O-]
294.0,CCCC[NH3+].N#C[S-],673,673,CCCC[NH3+].N#C[S-]
285.0,CCCCC[NH3+].O=C[O-],674,674,CCCCC[NH3+].O=C[O-]
299.0,CC(C)C[NH3+].O=C[O-],675,675,CC(C)C[NH3+].O=C[O-]
272.0,CCC(C)C[NH3+].O=C[O-],676,676,CCC(C)C[NH3+].O=C[O-]
320.0,CC(C)CC[NH3+].O=C[O-],677,677,CC(C)CC[NH3+].O=C[O-]
261.0,C[N+](C)(C)CCCS(=O)(=O)O.O=S(=O)([O-])O,678,678,C[N+](C)(C)CCCS(=O)(=O)O.O=S(=O)([O-])O
264.0,CC[N+](CC)(CC)CCCS(=O)(=O)O.O=S(=O)([O-])O,679,679,CC[N+](CC)(CC)CCCS(=O)(=O)O.O=S(=O)([O-])O
266.0,CCCC[N+](CCCC)(CCCC)CCCS(=O)(=O)O.O=S(=O)([O-])O,680,680,CCCC[N+](CCCC)(CCCC)CCCS(=O)(=O)O.O=S(=O)([O-])O
356.0,CC[N+](CC)(CC)Cc1ccccc1.N#C[N-]C#N,681,681,CC[N+](CC)(CC)Cc1ccccc1.N#C[N-]C#N
382.0,CC[N+](CC)(CC)Cc1ccccc1.O=S(=O)([O-])C(F)(F)F,682,682,CC[N+](CC)(CC)Cc1ccccc1.O=S(=O)([O-])C(F)(F)F
424.0,CC[N+](CC)(CC)Cc1ccccc1.O=C1[N-]S(=O)(=O)c2ccccc21,683,683,CC[N+](CC)(CC)Cc1ccccc1.O=C1[N-]S(=O)(=O)c2ccccc21
361.0,CC[N+](CC)(CC)Cc1ccccc1.N#C[S-],684,684,CC[N+](CC)(CC)Cc1ccccc1.N#C[S-]
390.0,C[N+](C)(C)c1ccccc1.N#C[N-]C#N,685,685,C[N+](C)(C)c1ccccc1.N#C[N-]C#N
356.0,C[N+](C)(C)c1ccccc1.O=S(=O)([O-])C(F)(F)F,686,686,C[N+](C)(C)c1ccccc1.O=S(=O)([O-])C(F)(F)F
423.0,C[N+](C)(C)c1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1,687,687,C[N+](C)(C)c1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1
467.0,C[N+](C)(C)c1ccccc1.O=C1[N-]S(=O)(=O)c2ccccc21,688,688,C[N+](C)(C)c1ccccc1.O=C1[N-]S(=O)(=O)c2ccccc21
389.0,C[N+](C)(C)c1ccccc1.N#C[S-],689,689,C[N+](C)(C)c1ccccc1.N#C[S-]
280.0,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,690,690,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
270.0,CC[N+](CC)(CC)COC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,691,691,CC[N+](CC)(CC)COC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
448.0,C[N+](C)(Cc1ccccc1)Cc1ccccc1.[Br-],692,692,C[N+](C)(Cc1ccccc1)Cc1ccccc1.[Br-]
439.0,C[N+](C)(Cc1ccccc1)Cc1ccccc1.F[B-](F)(F)F,693,693,C[N+](C)(Cc1ccccc1)Cc1ccccc1.F[B-](F)(F)F
491.0,C[N+](C)(Cc1ccccc1)Cc1ccccc1.F[P-](F)(F)(F)(F)F,694,694,C[N+](C)(Cc1ccccc1)Cc1ccccc1.F[P-](F)(F)(F)(F)F
504.0,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C.F[B-](F)(F)F,695,695,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C.F[B-](F)(F)F
543.0,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C.F[P-](F)(F)(F)(F)F,696,696,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C.F[P-](F)(F)(F)(F)F
422.0,Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1.[Cl-],697,697,Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1.[Cl-]
